seed,run_date,run,target,driver,decile1_mean,decile10_mean,spread,abs_spread
20260916,2026-09-16,por,terminal_cash_rank,writer_gbp_item,0.615422,0.376577,-0.238846,0.238846
20260916,2026-09-16,por,terminal_cash_rank,items_per_unit,0.684859,0.342845,-0.342013,0.342013
20260916,2026-09-16,por,terminal_cash_rank,board_reuse,0.399961,0.609920,0.209959,0.209959
20260916,2026-09-16,por,terminal_cash_rank,market_reuse,0.440337,0.556940,0.116603,0.116603
20260916,2026-09-16,por,terminal_cash_rank,reval_frac_yr,0.550493,0.454004,-0.096489,0.096489
20260916,2026-09-16,por,terminal_cash_rank,eng_usd_yr,0.572212,0.418122,-0.154090,0.154090
20260916,2026-09-16,por,terminal_cash_rank,uk_gbp_yr,0.522803,0.467467,-0.055336,0.055336
20260916,2026-09-16,por,terminal_cash_rank,overhead_mult,0.529405,0.471498,-0.057908,0.057908
20260916,2026-09-16,por,terminal_cash_rank,units_per_content_head,0.424346,0.530416,0.106070,0.106070
20260916,2026-09-16,por,terminal_cash_rank,eng_ramp_mult,0.532329,0.478497,-0.053832,0.053832
20260916,2026-09-16,por,terminal_cash_rank,cac_anchor_usd,0.676715,0.389128,-0.287588,0.287588
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_us,0.526907,0.493356,-0.033551,0.033551
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_in,0.501141,0.496395,-0.004745,0.004745
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_row,0.517788,0.497673,-0.020114,0.020114
20260916,2026-09-16,por,terminal_cash_rank,sat_kappa,0.540398,0.466442,-0.073955,0.073955
20260916,2026-09-16,por,terminal_cash_rank,cac_ref_spend_usd,0.426849,0.583544,0.156695,0.156695
20260916,2026-09-16,por,terminal_cash_rank,pool_pressure_psi,0.508439,0.498757,-0.009682,0.009682
20260916,2026-09-16,por,terminal_cash_rank,creator_share,0.484177,0.525204,0.041027,0.041027
20260916,2026-09-16,por,terminal_cash_rank,creator_cac_rel,0.514394,0.482519,-0.031875,0.031875
20260916,2026-09-16,por,terminal_cash_rank,pool_uk,0.482159,0.505981,0.023822,0.023822
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_us,0.491982,0.501931,0.009949,0.009949
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_in,0.499439,0.506399,0.006960,0.006960
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_row,0.490689,0.502176,0.011487,0.011487
20260916,2026-09-16,por,terminal_cash_rank,acq_season_amp,0.499653,0.499695,0.000043,0.000043
20260916,2026-09-16,por,terminal_cash_rank,seg_mix_exam,0.491930,0.515834,0.023904,0.023904
20260916,2026-09-16,por,terminal_cash_rank,seg_mix_alevel,0.489602,0.513668,0.024066,0.024066
20260916,2026-09-16,por,terminal_cash_rank,acq_pct_of_rev,0.480886,0.498599,0.017714,0.017714
20260916,2026-09-16,por,terminal_cash_rank,acq_launch_ramp,0.496659,0.506833,0.010173,0.010173
20260916,2026-09-16,por,terminal_cash_rank,shock_rho,0.502485,0.495070,-0.007415,0.007415
20260916,2026-09-16,por,terminal_cash_rank,shock_sd,0.503754,0.502120,-0.001634,0.001634
20260916,2026-09-16,por,terminal_cash_rank,school_seats,0.486005,0.507864,0.021859,0.021859
20260916,2026-09-16,por,terminal_cash_rank,school_gbp_seat_yr,0.505082,0.497820,-0.007261,0.007261
20260916,2026-09-16,por,terminal_cash_rank,school_win_rate,0.492431,0.488456,-0.003975,0.003975
20260916,2026-09-16,por,terminal_cash_rank,school_rep_pipeline_yr,0.498033,0.507730,0.009698,0.009698
20260916,2026-09-16,por,terminal_cash_rank,school_renewal,0.506251,0.505323,-0.000928,0.000928
20260916,2026-09-16,por,terminal_cash_rank,school_cycle_m,0.496935,0.490433,-0.006502,0.006502
20260916,2026-09-16,por,terminal_cash_rank,us_sales_tax_eff,0.502074,0.488845,-0.013229,0.013229
20260916,2026-09-16,por,terminal_cash_rank,step_entity_setup_usd,0.488347,0.502253,0.013906,0.013906
20260916,2026-09-16,por,terminal_cash_rank,step_entity_annual_usd,0.506172,0.494156,-0.012016,0.012016
20260916,2026-09-16,por,terminal_cash_rank,step_cert_setup_usd,0.493710,0.507156,0.013447,0.013447
20260916,2026-09-16,por,terminal_cash_rank,step_cert_annual_usd,0.499625,0.498888,-0.000737,0.000737
20260916,2026-09-16,por,terminal_cash_rank,step_uk_rep_usd_yr,0.496284,0.513275,0.016991,0.016991
20260916,2026-09-16,por,terminal_cash_rank,step_counsel_initial_usd,0.504597,0.499864,-0.004733,0.004733
20260916,2026-09-16,por,terminal_cash_rank,step_counsel_market_usd,0.512056,0.492603,-0.019453,0.019453
